Station Code,Capital,County,Distance,Station Lat,Station Lon,Capital Lat,Capital Lon
KPQN0,Pipestone,Pipestone County,5.983032950940277,43.9833,-96.3003,44.0270012,-96.2566582
KPWC0,Brainerd,Crow Wing County,43.066084548631494,46.7248,-94.3817,46.3580221,-94.2008288
KRGK0,Red Wing,Goodhue County,4.889750160816647,44.5894,-92.485,44.5624676,-92.5338013
KROS0,Pine City,Pine County,14.39642579274057,45.6971,-92.9522,45.8260672,-92.9685423
KRRT0,Roseau,Roseau County,36.183582709934946,48.9415,-95.3485,48.7710371,-95.7697882
KSAZ0,Wadena,Wadena County,25.586769448587912,46.3809,-94.8066,46.5850936,-94.9606684
KSGS0,Saint Paul,Ramsey County,11.340834631626056,44.8571,-93.0329,44.9497487,-93.0931028
KTOB0,Mantorville,Dodge County,8.24458581323774,44.018,-92.8315,44.0678403,-92.7551315
KULM0,New Ulm,Brown County,3.313161196382812,44.3197,-94.5023,44.3140261,-94.4614177
KVVV0,Ortonville,Big Stone County,1.597751000847945,45.3057,-96.4244,45.304687,-96.444779
KAEL0,Albert Lea,Freeborn County,3.7246042670733344,43.6815,-93.3672,43.6480127,-93.3682656
KFCM0,Shakopee,Scott County,6.30657194436595,44.8275,-93.4586,44.7980186,-93.5268986
KGYL0,Glencoe,McLeod County,5.745905528093554,44.756,-94.0812,44.7691886,-94.1515671
KXVG0,Walker,Cass County,31.286157619980955,47.0,-94.2,47.101709,-94.585026
KJYG0,St. James,Watonwan County,5.538503041789099,43.9863,-94.5579,43.9824577,-94.6269181
KTWM0,Two Harbors,Lake County,6.054370600192086,47.0491,-91.7452,47.0257139,-91.6730523
KGDB0,Granite Falls,Yellow Medicine County,6.3535273983645535,44.7533,-95.556,44.8099575,-95.5455752
KLYV0,Luverne,Rock County,4.181273916523555,43.6168,-96.2177,43.6542342,-96.2127811
KSYN0,Hastings,Dakota County,32.43677745939448,44.4755,-93.0163,44.7426933,-92.8518697
